Sprite,Dex#,Species ID,BST,Available to catch?,Name,Form Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,BST,Showdown ID,Sprite URL
=IMAGE(R344),243,RAIKOU,580,1,Raikou,-,Electric,,90,85,75,115,100,115,580,raikou,https://play.pokemonshowdown.com/sprites/gen5/raikou.png
=IMAGE(R345),244,ENTEI,580,1,Entei,-,Fire,,115,115,85,90,75,100,580,entei,https://play.pokemonshowdown.com/sprites/gen5/entei.png
=IMAGE(R346),245,SUICUNE,580,1,Suicune,-,Water,,100,75,115,90,115,85,580,suicune,https://play.pokemonshowdown.com/sprites/gen5/suicune.png
=IMAGE(R347),246,LARVITAR,300,1,Larvitar,-,Rock,Ground,50,64,50,45,50,41,300,larvitar,https://play.pokemonshowdown.com/sprites/gen5/larvitar.png
=IMAGE(R348),247,PUPITAR,410,1,Pupitar,-,Rock,Ground,70,84,70,65,70,51,410,pupitar,https://play.pokemonshowdown.com/sprites/gen5/pupitar.png
=IMAGE(R349),248,TYRANITAR,600,1,Tyranitar,-,Rock,Dark,100,134,110,95,100,61,600,tyranitar,https://play.pokemonshowdown.com/sprites/gen5/tyranitar.png
=IMAGE(R350),248,TYRANITAR,700,1,Tyranitar (Mega Tyranitar),Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,700,tyranitar-mega,https://play.pokemonshowdown.com/sprites/gen5/tyranitar-mega.png
=IMAGE(R351),249,LUGIA,680,1,Lugia,-,Psychic,Flying,106,90,130,90,154,110,680,lugia,https://play.pokemonshowdown.com/sprites/gen5/lugia.png
=IMAGE(R352),250,HOOH,680,1,Ho-Oh,-,Fire,Flying,106,130,90,110,154,90,680,hooh,https://play.pokemonshowdown.com/sprites/gen5/hooh.png
=IMAGE(R353),251,CELEBI,600,1,Celebi,-,Psychic,Grass,100,100,100,100,100,100,600,celebi,https://play.pokemonshowdown.com/sprites/gen5/celebi.png
=IMAGE(R354),252,TREECKO,310,1,Treecko,-,Grass,,40,45,35,65,55,70,310,treecko,https://play.pokemonshowdown.com/sprites/gen5/treecko.png
=IMAGE(R355),253,GROVYLE,405,1,Grovyle,-,Grass,,50,65,45,85,65,95,405,grovyle,https://play.pokemonshowdown.com/sprites/gen5/grovyle.png
=IMAGE(R356),254,SCEPTILE,530,1,Sceptile,-,Grass,,70,85,65,105,85,120,530,sceptile,https://play.pokemonshowdown.com/sprites/gen5/sceptile.png
=IMAGE(R357),254,SCEPTILE,630,1,Sceptile (Mega Sceptile),Mega Sceptile,Grass,Dragon,70,110,75,145,85,145,630,sceptile-mega,https://play.pokemonshowdown.com/sprites/gen5/sceptile-mega.png
=IMAGE(R358),255,TORCHIC,310,1,Torchic,-,Fire,,45,60,40,70,50,45,310,torchic,https://play.pokemonshowdown.com/sprites/gen5/torchic.png
=IMAGE(R359),256,COMBUSKEN,405,1,Combusken,-,Fire,Fighting,60,85,60,85,60,55,405,combusken,https://play.pokemonshowdown.com/sprites/gen5/combusken.png
=IMAGE(R360),257,BLAZIKEN,530,1,Blaziken,-,Fire,Fighting,80,120,70,110,70,80,530,blaziken,https://play.pokemonshowdown.com/sprites/gen5/blaziken.png
=IMAGE(R361),257,BLAZIKEN,630,1,Blaziken (Mega Blaziken),Mega Blaziken,Fire,Fighting,80,160,80,130,80,100,630,blaziken-mega,https://play.pokemonshowdown.com/sprites/gen5/blaziken-mega.png
=IMAGE(R362),258,MUDKIP,310,1,Mudkip,-,Water,,50,70,50,50,50,40,310,mudkip,https://play.pokemonshowdown.com/sprites/gen5/mudkip.png
=IMAGE(R363),259,MARSHTOMP,405,1,Marshtomp,-,Water,Ground,70,85,70,60,70,50,405,marshtomp,https://play.pokemonshowdown.com/sprites/gen5/marshtomp.png
=IMAGE(R364),260,SWAMPERT,535,1,Swampert,-,Water,Ground,100,110,90,85,90,60,535,swampert,https://play.pokemonshowdown.com/sprites/gen5/swampert.png
=IMAGE(R365),260,SWAMPERT,635,1,Swampert (Mega Swampert),Mega Swampert,Water,Ground,100,150,110,95,110,70,635,swampert-mega,https://play.pokemonshowdown.com/sprites/gen5/swampert-mega.png
=IMAGE(R366),261,POOCHYENA,220,1,Poochyena,-,Dark,,35,55,35,30,30,35,220,poochyena,https://play.pokemonshowdown.com/sprites/gen5/poochyena.png
=IMAGE(R367),262,MIGHTYENA,420,1,Mightyena,-,Dark,,70,90,70,60,60,70,420,mightyena,https://play.pokemonshowdown.com/sprites/gen5/mightyena.png
=IMAGE(R368),263,ZIGZAGOON,240,1,Zigzagoon,-,Normal,,38,30,41,30,41,60,240,zigzagoon,https://play.pokemonshowdown.com/sprites/gen5/zigzagoon.png
=IMAGE(R369),263,ZIGZAGOON,240,1,Zigzagoon (Galarian),Galarian,Dark,Normal,38,30,41,30,41,60,240,zigzagoon-galar,https://play.pokemonshowdown.com/sprites/gen5/zigzagoon-galar.png
=IMAGE(R370),264,LINOONE,420,1,Linoone,-,Normal,,78,70,61,50,61,100,420,linoone,https://play.pokemonshowdown.com/sprites/gen5/linoone.png
=IMAGE(R371),264,LINOONE,420,1,Linoone (Galarian),Galarian,Dark,Normal,78,70,61,50,61,100,420,linoone-galar,https://play.pokemonshowdown.com/sprites/gen5/linoone-galar.png
=IMAGE(R372),265,WURMPLE,195,1,Wurmple,-,Bug,,45,45,35,20,30,20,195,wurmple,https://play.pokemonshowdown.com/sprites/gen5/wurmple.png
=IMAGE(R373),266,SILCOON,205,1,Silcoon,-,Bug,,50,35,55,25,25,15,205,silcoon,https://play.pokemonshowdown.com/sprites/gen5/silcoon.png
=IMAGE(R374),267,BEAUTIFLY,395,1,Beautifly,-,Bug,Flying,60,70,50,100,50,65,395,beautifly,https://play.pokemonshowdown.com/sprites/gen5/beautifly.png
=IMAGE(R375),268,CASCOON,205,1,Cascoon,-,Bug,,50,35,55,25,25,15,205,cascoon,https://play.pokemonshowdown.com/sprites/gen5/cascoon.png
=IMAGE(R376),269,DUSTOX,385,1,Dustox,-,Bug,Poison,60,50,70,50,90,65,385,dustox,https://play.pokemonshowdown.com/sprites/gen5/dustox.png
=IMAGE(R377),270,LOTAD,220,1,Lotad,-,Water,Grass,40,30,30,40,50,30,220,lotad,https://play.pokemonshowdown.com/sprites/gen5/lotad.png
=IMAGE(R378),271,LOMBRE,340,1,Lombre,-,Water,Grass,60,50,50,60,70,50,340,lombre,https://play.pokemonshowdown.com/sprites/gen5/lombre.png
=IMAGE(R379),272,LUDICOLO,480,1,Ludicolo,-,Water,Grass,80,70,70,90,100,70,480,ludicolo,https://play.pokemonshowdown.com/sprites/gen5/ludicolo.png
=IMAGE(R380),273,SEEDOT,220,1,Seedot,-,Grass,,40,40,50,30,30,30,220,seedot,https://play.pokemonshowdown.com/sprites/gen5/seedot.png
=IMAGE(R381),274,NUZLEAF,340,1,Nuzleaf,-,Grass,Dark,70,70,40,60,40,60,340,nuzleaf,https://play.pokemonshowdown.com/sprites/gen5/nuzleaf.png
=IMAGE(R382),275,SHIFTRY,480,1,Shiftry,-,Grass,Dark,90,100,60,90,60,80,480,shiftry,https://play.pokemonshowdown.com/sprites/gen5/shiftry.png
=IMAGE(R383),276,TAILLOW,270,1,Taillow,-,Normal,Flying,40,55,30,30,30,85,270,taillow,https://play.pokemonshowdown.com/sprites/gen5/taillow.png
=IMAGE(R384),277,SWELLOW,455,1,Swellow,-,Normal,Flying,60,85,60,75,50,125,455,swellow,https://play.pokemonshowdown.com/sprites/gen5/swellow.png
=IMAGE(R385),278,WINGULL,270,1,Wingull,-,Water,Flying,40,30,30,55,30,85,270,wingull,https://play.pokemonshowdown.com/sprites/gen5/wingull.png
=IMAGE(R386),279,PELIPPER,440,1,Pelipper,-,Water,Flying,60,50,100,95,70,65,440,pelipper,https://play.pokemonshowdown.com/sprites/gen5/pelipper.png
=IMAGE(R387),280,RALTS,198,1,Ralts,-,Psychic,Fairy,28,25,25,45,35,40,198,ralts,https://play.pokemonshowdown.com/sprites/gen5/ralts.png
=IMAGE(R388),281,KIRLIA,278,1,Kirlia,-,Psychic,Fairy,38,35,35,65,55,50,278,kirlia,https://play.pokemonshowdown.com/sprites/gen5/kirlia.png
=IMAGE(R389),282,GARDEVOIR,518,1,Gardevoir,-,Psychic,Fairy,68,65,65,125,115,80,518,gardevoir,https://play.pokemonshowdown.com/sprites/gen5/gardevoir.png
=IMAGE(R390),282,GARDEVOIR,618,1,Gardevoir (Mega Gardevoir),Mega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,618,gardevoir-mega,https://play.pokemonshowdown.com/sprites/gen5/gardevoir-mega.png
=IMAGE(R391),283,SURSKIT,269,1,Surskit,-,Bug,Water,40,30,32,50,52,65,269,surskit,https://play.pokemonshowdown.com/sprites/gen5/surskit.png
=IMAGE(R392),284,MASQUERAIN,454,1,Masquerain,-,Bug,Flying,70,60,62,100,82,80,454,masquerain,https://play.pokemonshowdown.com/sprites/gen5/masquerain.png
=IMAGE(R393),285,SHROOMISH,295,1,Shroomish,-,Grass,,60,40,60,40,60,35,295,shroomish,https://play.pokemonshowdown.com/sprites/gen5/shroomish.png
=IMAGE(R394),286,BRELOOM,460,1,Breloom,-,Grass,Fighting,60,130,80,60,60,70,460,breloom,https://play.pokemonshowdown.com/sprites/gen5/breloom.png
=IMAGE(R395),287,SLAKOTH,280,1,Slakoth,-,Normal,,60,60,60,35,35,30,280,slakoth,https://play.pokemonshowdown.com/sprites/gen5/slakoth.png
=IMAGE(R396),288,VIGOROTH,440,1,Vigoroth,-,Normal,,80,80,80,55,55,90,440,vigoroth,https://play.pokemonshowdown.com/sprites/gen5/vigoroth.png
=IMAGE(R397),289,SLAKING,670,1,Slaking,-,Normal,,150,160,100,95,65,100,670,slaking,https://play.pokemonshowdown.com/sprites/gen5/slaking.png
=IMAGE(R398),290,NINCADA,266,1,Nincada,-,Bug,Ground,31,45,90,30,30,40,266,nincada,https://play.pokemonshowdown.com/sprites/gen5/nincada.png
=IMAGE(R399),291,NINJASK,456,1,Ninjask,-,Bug,Flying,61,90,45,50,50,160,456,ninjask,https://play.pokemonshowdown.com/sprites/gen5/ninjask.png
=IMAGE(R400),292,SHEDINJA,236,1,Shedinja,-,Bug,Ghost,1,90,45,30,30,40,236,shedinja,https://play.pokemonshowdown.com/sprites/gen5/shedinja.png
=IMAGE(R401),293,WHISMUR,240,1,Whismur,-,Normal,,64,51,23,51,23,28,240,whismur,https://play.pokemonshowdown.com/sprites/gen5/whismur.png
=IMAGE(R402),294,LOUDRED,360,1,Loudred,-,Normal,,84,71,43,71,43,48,360,loudred,https://play.pokemonshowdown.com/sprites/gen5/loudred.png
=IMAGE(R403),295,EXPLOUD,490,1,Exploud,-,Normal,,104,91,63,91,73,68,490,exploud,https://play.pokemonshowdown.com/sprites/gen5/exploud.png
=IMAGE(R404),296,MAKUHITA,237,1,Makuhita,-,Fighting,,72,60,30,20,30,25,237,makuhita,https://play.pokemonshowdown.com/sprites/gen5/makuhita.png
=IMAGE(R405),297,HARIYAMA,474,1,Hariyama,-,Fighting,,144,120,60,40,60,50,474,hariyama,https://play.pokemonshowdown.com/sprites/gen5/hariyama.png
=IMAGE(R406),298,AZURILL,190,1,Azurill,-,Normal,Fairy,50,20,40,20,40,20,190,azurill,https://play.pokemonshowdown.com/sprites/gen5/azurill.png
=IMAGE(R407),299,NOSEPASS,375,1,Nosepass,-,Rock,,30,45,135,45,90,30,375,nosepass,https://play.pokemonshowdown.com/sprites/gen5/nosepass.png
=IMAGE(R408),300,SKITTY,260,1,Skitty,-,Normal,,50,45,45,35,35,50,260,skitty,https://play.pokemonshowdown.com/sprites/gen5/skitty.png
=IMAGE(R409),301,DELCATTY,400,1,Delcatty,-,Normal,,70,65,65,55,55,90,400,delcatty,https://play.pokemonshowdown.com/sprites/gen5/delcatty.png
=IMAGE(R410),302,SABLEYE,380,1,Sableye,-,Dark,Ghost,50,75,75,65,65,50,380,sableye,https://play.pokemonshowdown.com/sprites/gen5/sableye.png
=IMAGE(R411),302,SABLEYE,480,1,Sableye (Mega Sableye),Mega Sableye,Dark,Ghost,50,85,125,85,115,20,480,sableye-mega,https://play.pokemonshowdown.com/sprites/gen5/sableye-mega.png
=IMAGE(R412),303,MAWILE,380,1,Mawile,-,Steel,Fairy,50,85,85,55,55,50,380,mawile,https://play.pokemonshowdown.com/sprites/gen5/mawile.png
=IMAGE(R413),303,MAWILE,480,1,Mawile (Mega Mawile),Mega Mawile,Steel,Fairy,50,105,125,55,95,50,480,mawile-mega,https://play.pokemonshowdown.com/sprites/gen5/mawile-mega.png
=IMAGE(R414),304,ARON,330,1,Aron,-,Steel,Rock,50,70,100,40,40,30,330,aron,https://play.pokemonshowdown.com/sprites/gen5/aron.png
=IMAGE(R415),305,LAIRON,430,1,Lairon,-,Steel,Rock,60,90,140,50,50,40,430,lairon,https://play.pokemonshowdown.com/sprites/gen5/lairon.png
=IMAGE(R416),306,AGGRON,530,1,Aggron,-,Steel,Rock,70,110,180,60,60,50,530,aggron,https://play.pokemonshowdown.com/sprites/gen5/aggron.png
=IMAGE(R417),306,AGGRON,630,1,Aggron (Mega Aggron),Mega Aggron,Steel,,70,140,230,60,80,50,630,aggron-mega,https://play.pokemonshowdown.com/sprites/gen5/aggron-mega.png
=IMAGE(R418),307,MEDITITE,280,1,Meditite,-,Fighting,Psychic,30,40,55,40,55,60,280,meditite,https://play.pokemonshowdown.com/sprites/gen5/meditite.png
=IMAGE(R419),308,MEDICHAM,410,1,Medicham,-,Fighting,Psychic,60,60,75,60,75,80,410,medicham,https://play.pokemonshowdown.com/sprites/gen5/medicham.png
=IMAGE(R420),308,MEDICHAM,510,1,Medicham (Mega Medicham),Mega Medicham,Fighting,Psychic,60,100,85,80,85,100,510,medicham-mega,https://play.pokemonshowdown.com/sprites/gen5/medicham-mega.png
=IMAGE(R421),309,ELECTRIKE,295,1,Electrike,-,Electric,,40,45,40,65,40,65,295,electrike,https://play.pokemonshowdown.com/sprites/gen5/electrike.png
=IMAGE(R422),310,MANECTRIC,475,1,Manectric,-,Electric,,70,75,60,105,60,105,475,manectric,https://play.pokemonshowdown.com/sprites/gen5/manectric.png
=IMAGE(R423),310,MANECTRIC,575,1,Manectric (Mega Manectric),Mega Manectric,Electric,,70,75,80,135,80,135,575,manectric-mega,https://play.pokemonshowdown.com/sprites/gen5/manectric-mega.png
=IMAGE(R424),311,PLUSLE,405,1,Plusle,-,Electric,,60,50,40,85,75,95,405,plusle,https://play.pokemonshowdown.com/sprites/gen5/plusle.png
=IMAGE(R425),312,MINUN,405,1,Minun,-,Electric,,60,40,50,75,85,95,405,minun,https://play.pokemonshowdown.com/sprites/gen5/minun.png
=IMAGE(R426),313,VOLBEAT,430,1,Volbeat,-,Bug,,65,73,75,47,85,85,430,volbeat,https://play.pokemonshowdown.com/sprites/gen5/volbeat.png
=IMAGE(R427),314,ILLUMISE,430,1,Illumise,-,Bug,,65,47,75,73,85,85,430,illumise,https://play.pokemonshowdown.com/sprites/gen5/illumise.png
=IMAGE(R428),315,ROSELIA,400,1,Roselia,-,Grass,Poison,50,60,45,100,80,65,400,roselia,https://play.pokemonshowdown.com/sprites/gen5/roselia.png
=IMAGE(R429),316,GULPIN,302,1,Gulpin,-,Poison,,70,43,53,43,53,40,302,gulpin,https://play.pokemonshowdown.com/sprites/gen5/gulpin.png
=IMAGE(R430),317,SWALOT,467,1,Swalot,-,Poison,,100,73,83,73,83,55,467,swalot,https://play.pokemonshowdown.com/sprites/gen5/swalot.png
=IMAGE(R431),318,CARVANHA,305,1,Carvanha,-,Water,Dark,45,90,20,65,20,65,305,carvanha,https://play.pokemonshowdown.com/sprites/gen5/carvanha.png
=IMAGE(R432),319,SHARPEDO,460,1,Sharpedo,-,Water,Dark,70,120,40,95,40,95,460,sharpedo,https://play.pokemonshowdown.com/sprites/gen5/sharpedo.png
=IMAGE(R433),319,SHARPEDO,560,1,Sharpedo (Mega Sharpedo),Mega Sharpedo,Water,Dark,70,140,70,110,65,105,560,sharpedo-mega,https://play.pokemonshowdown.com/sprites/gen5/sharpedo-mega.png
=IMAGE(R434),320,WAILMER,400,1,Wailmer,-,Water,,130,70,35,70,35,60,400,wailmer,https://play.pokemonshowdown.com/sprites/gen5/wailmer.png
=IMAGE(R435),321,WAILORD,500,1,Wailord,-,Water,,170,90,45,90,45,60,500,wailord,https://play.pokemonshowdown.com/sprites/gen5/wailord.png
=IMAGE(R436),322,NUMEL,305,1,Numel,-,Fire,Ground,60,60,40,65,45,35,305,numel,https://play.pokemonshowdown.com/sprites/gen5/numel.png
=IMAGE(R437),323,CAMERUPT,460,1,Camerupt,-,Fire,Ground,70,100,70,105,75,40,460,camerupt,https://play.pokemonshowdown.com/sprites/gen5/camerupt.png
=IMAGE(R438),323,CAMERUPT,560,1,Camerupt (Mega Camerupt),Mega Camerupt,Fire,Ground,70,120,100,145,105,20,560,camerupt-mega,https://play.pokemonshowdown.com/sprites/gen5/camerupt-mega.png
=IMAGE(R439),324,TORKOAL,470,1,Torkoal,-,Fire,,70,85,140,85,70,20,470,torkoal,https://play.pokemonshowdown.com/sprites/gen5/torkoal.png
=IMAGE(R440),325,SPOINK,330,1,Spoink,-,Psychic,,60,25,35,70,80,60,330,spoink,https://play.pokemonshowdown.com/sprites/gen5/spoink.png
=IMAGE(R441),326,GRUMPIG,470,1,Grumpig,-,Psychic,,80,45,65,90,110,80,470,grumpig,https://play.pokemonshowdown.com/sprites/gen5/grumpig.png
=IMAGE(R442),327,SPINDA,360,1,Spinda,-,Normal,,60,60,60,60,60,60,360,spinda,https://play.pokemonshowdown.com/sprites/gen5/spinda.png
=IMAGE(R443),328,TRAPINCH,290,1,Trapinch,-,Ground,,45,100,45,45,45,10,290,trapinch,https://play.pokemonshowdown.com/sprites/gen5/trapinch.png
=IMAGE(R444),329,VIBRAVA,340,1,Vibrava,-,Ground,Dragon,50,70,50,50,50,70,340,vibrava,https://play.pokemonshowdown.com/sprites/gen5/vibrava.png
=IMAGE(R445),330,FLYGON,520,1,Flygon,-,Ground,Dragon,80,100,80,80,80,100,520,flygon,https://play.pokemonshowdown.com/sprites/gen5/flygon.png
=IMAGE(R446),331,CACNEA,335,1,Cacnea,-,Grass,,50,85,40,85,40,35,335,cacnea,https://play.pokemonshowdown.com/sprites/gen5/cacnea.png
=IMAGE(R447),332,CACTURNE,475,1,Cacturne,-,Grass,Dark,70,115,60,115,60,55,475,cacturne,https://play.pokemonshowdown.com/sprites/gen5/cacturne.png
=IMAGE(R448),333,SWABLU,310,1,Swablu,-,Normal,Flying,45,40,60,40,75,50,310,swablu,https://play.pokemonshowdown.com/sprites/gen5/swablu.png
=IMAGE(R449),334,ALTARIA,490,1,Altaria,-,Dragon,Flying,75,70,90,70,105,80,490,altaria,https://play.pokemonshowdown.com/sprites/gen5/altaria.png
=IMAGE(R450),334,ALTARIA,590,1,Altaria (Mega Altaria),Mega Altaria,Dragon,Fairy,75,110,110,110,105,80,590,altaria-mega,https://play.pokemonshowdown.com/sprites/gen5/altaria-mega.png
=IMAGE(R451),335,ZANGOOSE,458,1,Zangoose,-,Normal,,73,115,60,60,60,90,458,zangoose,https://play.pokemonshowdown.com/sprites/gen5/zangoose.png
=IMAGE(R452),336,SEVIPER,458,1,Seviper,-,Poison,,73,100,60,100,60,65,458,seviper,https://play.pokemonshowdown.com/sprites/gen5/seviper.png
=IMAGE(R453),337,LUNATONE,460,1,Lunatone,-,Rock,Psychic,90,55,65,95,85,70,460,lunatone,https://play.pokemonshowdown.com/sprites/gen5/lunatone.png
=IMAGE(R454),338,SOLROCK,460,1,Solrock,-,Rock,Psychic,90,95,85,55,65,70,460,solrock,https://play.pokemonshowdown.com/sprites/gen5/solrock.png
=IMAGE(R455),339,BARBOACH,288,1,Barboach,-,Water,Ground,50,48,43,46,41,60,288,barboach,https://play.pokemonshowdown.com/sprites/gen5/barboach.png
=IMAGE(R456),340,WHISCASH,468,1,Whiscash,-,Water,Ground,110,78,73,76,71,60,468,whiscash,https://play.pokemonshowdown.com/sprites/gen5/whiscash.png
=IMAGE(R457),341,CORPHISH,308,1,Corphish,-,Water,,43,80,65,50,35,35,308,corphish,https://play.pokemonshowdown.com/sprites/gen5/corphish.png
=IMAGE(R458),342,CRAWDAUNT,468,1,Crawdaunt,-,Water,Dark,63,120,85,90,55,55,468,crawdaunt,https://play.pokemonshowdown.com/sprites/gen5/crawdaunt.png
=IMAGE(R459),343,BALTOY,300,1,Baltoy,-,Ground,Psychic,40,40,55,40,70,55,300,baltoy,https://play.pokemonshowdown.com/sprites/gen5/baltoy.png
=IMAGE(R460),344,CLAYDOL,500,1,Claydol,-,Ground,Psychic,60,70,105,70,120,75,500,claydol,https://play.pokemonshowdown.com/sprites/gen5/claydol.png
=IMAGE(R461),345,LILEEP,355,1,Lileep,-,Rock,Grass,66,41,77,61,87,23,355,lileep,https://play.pokemonshowdown.com/sprites/gen5/lileep.png
=IMAGE(R462),346,CRADILY,495,1,Cradily,-,Rock,Grass,86,81,97,81,107,43,495,cradily,https://play.pokemonshowdown.com/sprites/gen5/cradily.png
=IMAGE(R463),347,ANORITH,355,1,Anorith,-,Rock,Bug,45,95,50,40,50,75,355,anorith,https://play.pokemonshowdown.com/sprites/gen5/anorith.png
=IMAGE(R464),348,ARMALDO,495,1,Armaldo,-,Rock,Bug,75,125,100,70,80,45,495,armaldo,https://play.pokemonshowdown.com/sprites/gen5/armaldo.png
=IMAGE(R465),349,FEEBAS,200,1,Feebas,-,Water,,20,15,20,10,55,80,200,feebas,https://play.pokemonshowdown.com/sprites/gen5/feebas.png
=IMAGE(R466),350,MILOTIC,540,1,Milotic,-,Water,,95,60,79,100,125,81,540,milotic,https://play.pokemonshowdown.com/sprites/gen5/milotic.png
=IMAGE(R467),351,CASTFORM,420,1,Castform (Normal Form),-,Normal,,70,70,70,70,70,70,420,castform,https://play.pokemonshowdown.com/sprites/gen5/castform.png
=IMAGE(R468),351,CASTFORM,420,1,Castform (Sunny Form),Sunny Form,Fire,,70,70,70,70,70,70,420,castform-sunny,https://play.pokemonshowdown.com/sprites/gen5/castform-sunny.png
=IMAGE(R469),351,CASTFORM,420,1,Castform (Rainy Form),Rainy Form,Water,,70,70,70,70,70,70,420,castform-rainy,https://play.pokemonshowdown.com/sprites/gen5/castform-rainy.png
=IMAGE(R470),351,CASTFORM,420,1,Castform (Snowy Form),Snowy Form,Ice,,70,70,70,70,70,70,420,castform-snowy,https://play.pokemonshowdown.com/sprites/gen5/castform-snowy.png
=IMAGE(R471),352,KECLEON,440,1,Kecleon,-,Normal,,60,90,70,60,120,40,440,kecleon,https://play.pokemonshowdown.com/sprites/gen5/kecleon.png
=IMAGE(R472),353,SHUPPET,295,1,Shuppet,-,Ghost,,44,75,35,63,33,45,295,shuppet,https://play.pokemonshowdown.com/sprites/gen5/shuppet.png
=IMAGE(R473),354,BANETTE,455,1,Banette,-,Ghost,,64,115,65,83,63,65,455,banette,https://play.pokemonshowdown.com/sprites/gen5/banette.png
=IMAGE(R474),354,BANETTE,555,1,Banette (Mega Banette),Mega Banette,Ghost,,64,165,75,93,83,75,555,banette-mega,https://play.pokemonshowdown.com/sprites/gen5/banette-mega.png
=IMAGE(R475),355,DUSKULL,295,1,Duskull,-,Ghost,,20,40,90,30,90,25,295,duskull,https://play.pokemonshowdown.com/sprites/gen5/duskull.png
=IMAGE(R476),356,DUSCLOPS,455,1,Dusclops,-,Ghost,,40,70,130,60,130,25,455,dusclops,https://play.pokemonshowdown.com/sprites/gen5/dusclops.png
=IMAGE(R477),357,TROPIUS,460,1,Tropius,-,Grass,Flying,99,68,83,72,87,51,460,tropius,https://play.pokemonshowdown.com/sprites/gen5/tropius.png
=IMAGE(R478),358,CHIMECHO,455,1,Chimecho,-,Psychic,,75,50,80,95,90,65,455,chimecho,https://play.pokemonshowdown.com/sprites/gen5/chimecho.png
=IMAGE(R479),358,CHIMECHO,555,1,Chimecho (Mega Chimecho),Mega Chimecho,Psychic,Steel,75,50,110,135,120,65,555,chimecho-mega,https://play.pokemonshowdown.com/sprites/gen5/chimecho-mega.png
=IMAGE(R480),359,ABSOL,465,1,Absol,-,Dark,,65,130,60,75,60,75,465,absol,https://play.pokemonshowdown.com/sprites/gen5/absol.png
=IMAGE(R481),359,ABSOL,565,1,Absol (Mega Absol),Mega Absol,Dark,,65,150,60,115,60,115,565,absol-mega,https://play.pokemonshowdown.com/sprites/gen5/absol-mega.png
=IMAGE(R482),359,ABSOL,565,1,Absol (Mega Absol Z),Mega Absol Z,Dark,Ghost,65,154,60,75,60,151,565,absol-megaz,https://play.pokemonshowdown.com/sprites/gen5/absol-megaz.png
=IMAGE(R483),360,WYNAUT,260,1,Wynaut,-,Psychic,,95,23,48,23,48,23,260,wynaut,https://play.pokemonshowdown.com/sprites/gen5/wynaut.png
=IMAGE(R484),361,SNORUNT,300,1,Snorunt,-,Ice,,50,50,50,50,50,50,300,snorunt,https://play.pokemonshowdown.com/sprites/gen5/snorunt.png
=IMAGE(R485),362,GLALIE,480,1,Glalie,-,Ice,,80,80,80,80,80,80,480,glalie,https://play.pokemonshowdown.com/sprites/gen5/glalie.png
=IMAGE(R486),362,GLALIE,580,1,Glalie (Mega Glalie),Mega Glalie,Ice,,80,120,80,120,80,100,580,glalie-mega,https://play.pokemonshowdown.com/sprites/gen5/glalie-mega.png
=IMAGE(R487),363,SPHEAL,290,1,Spheal,-,Ice,Water,70,40,50,55,50,25,290,spheal,https://play.pokemonshowdown.com/sprites/gen5/spheal.png
=IMAGE(R488),364,SEALEO,410,1,Sealeo,-,Ice,Water,90,60,70,75,70,45,410,sealeo,https://play.pokemonshowdown.com/sprites/gen5/sealeo.png
=IMAGE(R489),365,WALREIN,530,1,Walrein,-,Ice,Water,110,80,90,95,90,65,530,walrein,https://play.pokemonshowdown.com/sprites/gen5/walrein.png
=IMAGE(R490),366,CLAMPERL,345,1,Clamperl,-,Water,,35,64,85,74,55,32,345,clamperl,https://play.pokemonshowdown.com/sprites/gen5/clamperl.png
=IMAGE(R491),367,HUNTAIL,485,1,Huntail,-,Water,,55,104,105,94,75,52,485,huntail,https://play.pokemonshowdown.com/sprites/gen5/huntail.png
=IMAGE(R492),368,GOREBYSS,485,1,Gorebyss,-,Water,,55,84,105,114,75,52,485,gorebyss,https://play.pokemonshowdown.com/sprites/gen5/gorebyss.png
=IMAGE(R493),369,RELICANTH,485,1,Relicanth,-,Water,Rock,100,90,130,45,65,55,485,relicanth,https://play.pokemonshowdown.com/sprites/gen5/relicanth.png
=IMAGE(R494),370,LUVDISC,330,1,Luvdisc,-,Water,,43,30,55,40,65,97,330,luvdisc,https://play.pokemonshowdown.com/sprites/gen5/luvdisc.png
=IMAGE(R495),371,BAGON,300,1,Bagon,-,Dragon,,45,75,60,40,30,50,300,bagon,https://play.pokemonshowdown.com/sprites/gen5/bagon.png
=IMAGE(R496),372,SHELGON,420,1,Shelgon,-,Dragon,,65,95,100,60,50,50,420,shelgon,https://play.pokemonshowdown.com/sprites/gen5/shelgon.png
=IMAGE(R497),373,SALAMENCE,600,1,Salamence,-,Dragon,Flying,95,135,80,110,80,100,600,salamence,https://play.pokemonshowdown.com/sprites/gen5/salamence.png
=IMAGE(R498),373,SALAMENCE,700,1,Salamence (Mega Salamence),Mega Salamence,Dragon,Flying,95,145,130,120,90,120,700,salamence-mega,https://play.pokemonshowdown.com/sprites/gen5/salamence-mega.png
=IMAGE(R499),374,BELDUM,300,1,Beldum,-,Steel,Psychic,40,55,80,35,60,30,300,beldum,https://play.pokemonshowdown.com/sprites/gen5/beldum.png
=IMAGE(R500),375,METANG,420,1,Metang,-,Steel,Psychic,60,75,100,55,80,50,420,metang,https://play.pokemonshowdown.com/sprites/gen5/metang.png
